Result,Player,Book Odds,predicted_prob,Odds,New Odds (w/limits),Difference,New Ex%,Book Decimal Odds,Bet Standard,Profit Standard,BankRoll Standard,Bet Kelly,Profit Kelly,Bankroll Kelly,Bets,Bet Odds,Edge,Week,,,This Week,14,,,,,,
Miss,George Kittle,210,89.3%,-838,-150,-360,60%,3.10,$40,-$40.00,$960.00,$102,-$102.38,$898,George Kittle,210,27.7%,13,Yellow cells have formulas so be careful,,,,,,,,,
Miss,Garrett Wilson,155,60.9%,-156,-150,-305,60%,2.55,$40,-$40.00,$920.00,$85,-$85.48,$812,Garrett Wilson,155,20.8%,13,,,,,,,,,,
Hit,Terry McLaurin,170,57.3%,-134,-134,-304,57%,2.70,$40,$68.00,$988.00,$81,$137.05,$949,Terry McLaurin,170,20.3%,13,,,,,,,,,,
Miss,Ladd McConkey,170,56.7%,-131,-131,-301,57%,2.70,$40,-$40.00,$948.00,$78,-$77.90,$871,Ladd McConkey,170,19.6%,13,"$1,000",,,,,,,,,
Miss,Jordan Addison,150,52.0%,-108,-108,-258,52%,2.50,$40,-$40.00,$908.00,$50,-$49.85,$821,Jordan Addison,150,12.0%,13,,,,,,,,,,
Hit,Ja'Marr Chase,-115,78.8%,-372,-150,-35,60%,1.87,$40,$34.78,$942.78,$35,$30.43,$852,Ja'Marr Chase,-115,6.5%,13,Starting Bankroll,,,,,,,,,
Miss,Drake London,145,52.5%,-110,-110,-255,52%,2.45,$40,-$40.00,$902.78,$49,-$49.16,$803,Drake London,145,11.6%,13,Overall Profit Standard,,,,,,,,,
Miss,Justin Jefferson,115,58.2%,-140,-140,-255,58%,2.15,$40,-$40.00,$862.78,$55,-$54.86,$748,Justin Jefferson,115,11.7%,13,"$1,822.94",,,,,,,,,
Miss,Jauan Jennings,280,43.6%,129,129,-151,44%,3.80,$40,-$40.00,$822.78,$59,-$58.59,$689,Jauan Jennings,280,17.3%,13,Overall Profit Kelly,,,,,,,,,
Hit,Andrei Iosivas,400,24.5%,308,308,-92,25%,5.00,$40,$160.00,$982.78,$14,$56.70,$746,Andrei Iosivas,400,4.5%,13,"$1,037.27",,,,,,,,,
Miss,Hunter Henry,275,34.7%,188,188,-87,35%,3.75,$40,-$40.00,$942.78,$27,-$27.44,$719,Hunter Henry,275,8.1%,13,,,,,,,,,,
Hit,Johnny Mundt,950,10.1%,887,887,-63,10%,10.50,$40,$380.00,"$1,322.78",$2,$16.04,$735,Johnny Mundt,950,0.6%,13,Kelly Bet Amount,,,,,,,,,
Void,Diontae Johnson,500,18.6%,439,439,-61,19%,6.00,$0,,"$1,322.78",,,$735,Diontae Johnson,500,1.9%,13,"$7,688.22",,,Recieving,Kelly Bet Amount,Kelly Profit,Kelly Return,Standard Bet Amount,Standard Profit,Standard Return
Hit,Demarcus Robinson,280,30.8%,225,225,-55,31%,3.80,$40,$112.00,"$1,434.78",$15,$42.53,$777,Demarcus Robinson,280,4.5%,13,,,,Week 13,$962,-$261.02,-27.13%,"$1,000.00",$534.78,53.48%
Miss,Jaxon Smith-Njigba,215,37.9%,164,164,-51,38%,3.15,$40,-$40.00,"$1,394.78",$23,-$22.56,$755,Jaxon Smith-Njigba,215,6.2%,13,Standard Profit:,,,Week 14,$946,-$343.36,-36.31%,$960.00,-$148.32,-15.45%
Hit,Pat Freiermuth,380,22.8%,339,339,-41,23%,4.80,$40,$152.00,"$1,546.78",$6,$23.06,$778,Pat Freiermuth,380,1.9%,13,$534.78,,,Week 15,"$1,472",$774.03,52.59%,"$1,400.00",$530.10,37.86%
Miss,Xavier Legette,225,35.0%,186,186,-39,35%,3.25,$40,-$40.00,"$1,506.78",$15,-$15.23,$762,Xavier Legette,225,4.2%,13,Kelly Profit:,,,Week 16,"$1,376",$279.50,20.31%,"$1,400.00",$651.81,46.56%
Miss,Jalen Nailor,360,23.7%,322,322,-38,24%,4.60,$40,-$40.00,"$1,466.78",$6,-$6.33,$756,Jalen Nailor,360,2.0%,13,-$261.02,,,Week 17,"$1,084",$605,55.81%,"$1,160",$420,36.21%
Hit,Davante Adams,175,39.6%,152,152,-23,40%,2.75,$40,$70.00,"$1,536.78",$13,$22.33,$778,Davante Adams,175,3.2%,13,,,,Week 18,"$1,028",$45.16,4.39%,"$1,240.00",$148.57,11.98%
Miss,Cade Otton,185,37.4%,168,168,-17,37%,2.85,$40,-$40.00,"$1,496.78",$9,-$8.78,$770,Cade Otton,185,2.3%,13,,,,Total,"$7,688","$1,037.27",13.49%,"$7,920.00","$1,822.94",23.02%
Miss,A.J. Brown,125,47.3%,111,111,-14,47%,2.25,$40,-$40.00,"$1,456.78",$13,-$12.95,$757,A.J. Brown,125,2.9%,13,,,,,,,,,,
Hit,Keenan Allen,265,32.0%,209,209,-56,32%,3.65,$40,$106.00,"$1,562.78",$17,$45.31,$802,Keenan Allen,265,5.0%,13,,,,,,,,,,
Hit,D.J. Moore,230,43.0%,135,135,-95,43%,3.30,$40,$92.00,"$1,654.78",$44,$101.06,$903,D.J. Moore,230,12.3%,13,,,,,,,,,,
Miss,Jonnu Smith,250,40.0%,153,153,-97,40%,3.50,$40,-$40.00,"$1,614.78",$38,-$38.34,$865,Jonnu Smith,250,11.0%,13,,,,,,,,,,
Miss,Amon-Ra St. Brown,105,85.0%,-754,-150,-255,60%,2.05,$40,-$40.00,"$1,574.78",$55,-$54.76,$810,Amon-Ra St. Brown,105,11.2%,13,,,,,,,,,,
Miss,Travis Kelce,135,59.0%,-143,-143,-278,59%,2.35,$40,-$40.00,"$1,534.78",$71,-$70.91,$739,Travis Kelce,135,16.3%,13,,,,,,,,,,
Miss,Drake London,155,51.2%,-105,-105,-260,51%,2.55,$40,-$40.00,"$1,494.78",$49,-$49.33,$690,Drake London,155,12.0%,14,,,,,,,,,,
Miss,Travis Kelce,145,65.4%,-189,-150,-295,60%,2.45,$40,-$40.00,"$1,454.78",$81,-$81.03,$609,Travis Kelce,145,19.2%,14,,,,,,,,,,
Miss,Garrett Wilson,175,56.9%,-132,-132,-307,57%,2.75,$40,-$40.00,"$1,414.78",$81,-$80.83,$528,Garrett Wilson,175,20.6%,14,,,,,,,,,,
Miss,Amon-Ra St. Brown,100,83.7%,-513,-150,-250,60%,2.00,$40,-$40.00,"$1,374.78",$50,-$50.00,$478,Amon-Ra St. Brown,100,10.0%,14,,,,,,,,,,
Miss,George Kittle,170,85.3%,-581,-150,-320,60%,2.70,$40,-$40.00,"$1,334.78",$91,-$91.18,$387,George Kittle,170,23.0%,14,,,,,,,,,,
Miss,D.J. Moore,205,50.7%,-103,-103,-308,51%,3.05,$40,-$40.00,"$1,294.78",$67,-$66.54,$320,D.J. Moore,205,17.9%,14,,,,,,,,,,
Hit,Justin Jefferson,-105,54.9%,-122,-122,-17,55%,1.95,$40,$38.10,"$1,332.88",$19,$17.88,$338,Justin Jefferson,-105,3.7%,14,,,,,,,,,,
Hit,Davante Adams,160,47.1%,112,112,-48,47%,2.60,$40,$64.00,"$1,396.88",$35,$56.40,$394,Davante Adams,160,8.7%,14,Standard Profit:,,,,,,,,,
Hit,Jauan Jennings,215,38.8%,158,158,-57,39%,3.15,$40,$86.00,"$1,482.88",$26,$55.38,$450,Jauan Jennings,215,7.0%,14,-$148.32,,,,,,,,,
Miss,Mike Evans,105,54.5%,-120,-120,-225,54%,2.05,$40,-$40.00,"$1,442.88",$28,-$27.85,$422,Mike Evans,105,5.7%,14,Kelly Profit:,,,,,,,,,
Miss,Xavier Legette,425,35.1%,185,185,-240,35%,5.25,$40,-$40.00,"$1,402.88",$49,-$49.45,$372,Xavier Legette,425,16.0%,14,-$343.36,,,,,,,,,
Hit,David Njoku,220,35.5%,181,181,-39,36%,3.20,$40,$88.00,"$1,490.88",$16,$34.21,$407,David Njoku,220,4.3%,14,,,,,,,,,,
Miss,Demarcus Robinson,340,37.0%,170,170,-170,37%,4.40,$40,-$40.00,"$1,450.88",$46,-$46.34,$360,Demarcus Robinson,340,14.3%,14,,,,,,,,,,
Miss,Wan'Dale Robinson,310,30.7%,226,226,-84,31%,4.10,$40,-$40.00,"$1,410.88",$21,-$20.87,$339,Wan'Dale Robinson,310,6.3%,14,,,,,,,,,,
Hit,Jonnu Smith,175,40.6%,146,146,-29,41%,2.75,$40,$70.00,"$1,480.88",$17,$29.18,$369,Jonnu Smith,175,4.2%,14,,,,,,,,,,
Miss,Keenan Allen,200,40.7%,146,146,-54,41%,3.00,$40,-$40.00,"$1,440.88",$28,-$27.70,$341,Keenan Allen,200,7.4%,14,,,,,,,,,,
Hit,Cooper Kupp,155,67.3%,-206,-150,-305,60%,2.55,$40,$62.00,"$1,502.88",$85,$132.50,$473,Cooper Kupp,155,20.8%,14,,,,,,,,,,
Hit,Jordan Addison,140,48.6%,106,106,-34,49%,2.40,$40,$56.00,"$1,558.88",$30,$41.37,$515,Jordan Addison,140,6.9%,14,,,,,,,,,,
Miss,Cole Kmet,295,30.0%,234,234,-61,30%,3.95,$40,-$40.00,"$1,518.88",$16,-$15.60,$499,Cole Kmet,295,4.7%,14,,,,,,,,,,
Miss,Jalen Nailor,380,22.6%,343,343,-37,23%,4.80,$40,-$40.00,"$1,478.88",$5,-$5.49,$494,Jalen Nailor,380,1.7%,14,,,,,,,,,,
Void,Ladd McConkey,165,56.1%,-128,-128,-293,56%,2.65,$0,$0.00,"$1,478.88",,,$494,Ladd McConkey,165,18.4%,14,,,,,,,,,,
Miss,Malik Nabers,180,49.5%,102,102,-78,49%,2.80,$40,-$40.00,"$1,438.88",$53,-$53.44,$440,Malik Nabers,180,13.7%,14,,,,,,,,,,
Void,Brenton Strange,800,12.3%,711,711,-89,12%,9.00,$0,$0.00,"$1,438.88",,,$440,Brenton Strange,800,1.2%,14,,,,,,,,,,
Miss,Brock Wright,900,12.6%,695,695,-205,13%,10.00,$40,-$40.00,"$1,398.88",$7,-$7.18,$433,Brock Wright,900,2.6%,14,,,,,,,,,,
Hit,Ja'Marr Chase,-145,80.8%,-420,-150,-5,60%,1.69,$40,$27.59,"$1,426.46",$5,$3.45,$437,Ja'Marr Chase,-145,0.8%,14,,,,,,,,,,
Miss,Andrei Iosivas,500,30.3%,230,230,-270,30%,6.00,$40,-$40.00,"$1,386.46",$41,-$40.91,$396,Andrei Iosivas,500,13.6%,14,,,,,,,,,,
Miss,Cooper Kupp,135,64.9%,-185,-150,-285,60%,2.35,$40,-$40.00,"$1,346.46",$76,-$75.93,$320,Cooper Kupp,135,17.4%,15,,,,,,,,,,
Miss,George Kittle,150,85.6%,-595,-150,-300,60%,2.50,$40,-$40.00,"$1,306.46",$83,-$83.33,$236,George Kittle,150,20.0%,15,,,,,,,,,,
Miss,Jauan Jennings,165,48.0%,107,107,-58,48%,2.65,$40,-$40.00,"$1,266.46",$42,-$42.45,$194,Jauan Jennings,165,10.6%,15,,,,,,,,,,
Miss,Demarcus Robinson,440,33.6%,197,197,-243,34%,5.40,$40,-$40.00,"$1,226.46",$46,-$46.49,$147,Demarcus Robinson,440,15.2%,15,,,,,,,,,,
