Result,Player,Book Odds,predicted_prob,Odds,New xOdds (w/limits),Difference,New Ex%,Book Decimal Odds,Bet Standard,Profit Standard,BankRoll Standard,Bet Kelly,Profit Kelly,Bankroll Kelly,Bets,Bet Odds,Edge,Week,,,,,,,,,,
Hit,Saquon Barkley,-180,94.5%,-1705,-200,-20,67%,1.56,$40,$22.24,"$1,022.24",$17,$9.33,"$1,009",Saquon Barkley,-180,2.4%,13,Yellow cells have formulas so be careful,,,,,,,,,
Hit,Kyren Williams,-235,92.1%,-1170,-200,35,67%,1.43,$40,$17.02,"$1,039.26",0,$0.00,"$1,009",Kyren Williams,-235,-3.5%,13,,,,,,,,,,
Void,Jordan Mason,800,45.4%,120,120,-680,45%,9.00,$0,,"$1,039.26",,,"$1,009",Jordan Mason,800,34.3%,13,,,,,,,,,,
Miss,Derrick Henry,-210,88.8%,-791,-200,10,67%,1.48,$40,-$40.00,$999.26,0,$0.00,"$1,009",Derrick Henry,-210,-1.1%,13,"$1,000",,,,,,,,,
Hit,Jalen Hurts,-115,85.6%,-592,-200,-85,67%,1.87,$40,$34.78,"$1,034.04",$71,$61.59,"$1,071",Jalen Hurts,-115,13.2%,13,,,,,,,,,,
Hit,Joe Mixon,-215,86.4%,-634,-200,15,67%,1.47,$40,$18.60,"$1,052.65",0,$0.00,"$1,071",Joe Mixon,-215,-1.6%,13,Starting Bankroll,,,,,,,,,
Miss,Kenneth Gainwell,700,22.7%,340,340,-360,23%,8.00,$40,-$40.00,"$1,012.65",$29,-$29.29,"$1,042",Kenneth Gainwell,700,10.2%,13,Overall Profit Standard,,,,,,,,,
Miss,Brock Purdy,750,20.3%,393,393,-357,20%,8.50,$40,-$40.00,$972.65,$24,-$24.10,"$1,018",Brock Purdy,750,8.5%,13,$677.26,,,,,,,,,
Miss,Tank Bigsby,160,66.1%,-195,-195,-355,66%,2.60,$40,-$40.00,$932.65,$112,-$112.17,$905,Tank Bigsby,160,27.6%,13,Overall Profit Kelly,,,,,,,,,
Hit,Anthony Richardson,175,63.4%,-173,-173,-348,63%,2.75,$40,$70.00,"$1,002.65",$106,$186.11,"$1,091",Anthony Richardson,175,27.1%,13,"$1,105.74",,,,,,,,,
Hit,Bucky Irving,110,66.3%,-196,-196,-306,66%,2.10,$40,$44.00,"$1,046.65",$89,$97.82,"$1,189",Bucky Irving,110,18.6%,13,,,,,,,,,,
Miss,Rhamondre Stevenson,100,62.1%,-164,-164,-264,62%,2.00,$40,-$40.00,"$1,006.65",$61,-$60.59,"$1,129",Rhamondre Stevenson,100,12.1%,13,,,,,,,,,,
Hit,Ray Davis,550,25.4%,294,294,-256,25%,6.50,$40,$220.00,"$1,226.65",$30,$162.64,"$1,291",Ray Davis,550,10.0%,13,,,,,,,,,,
Miss,James Conner,105,54.6%,-120,-120,-225,55%,2.05,$40,-$40.00,"$1,186.65",$28,-$28.31,"$1,263",James Conner,105,5.8%,13,Standard Profit 13:,,,,,,,,,
Void,Justin Fields,400,36.0%,178,178,-222,36%,5.00,$0,,"$1,186.65",,,"$1,263",Justin Fields,400,16.0%,13,$276.45,,,,,,,,,
Miss,Chuba Hubbard,-105,75.6%,-310,-200,-95,67%,1.95,$40,-$40.00,"$1,146.65",$79,-$79.17,"$1,184",Chuba Hubbard,-105,15.4%,13,Kelly Profit 13:,,,,,,,,,
Hit,James Cook,-130,76.7%,-330,-200,-70,67%,1.77,$40,$30.77,"$1,177.42",$58,$44.87,"$1,229",James Cook,-130,10.1%,13,$341.80,,,,,,,,,
Hit,Zach Charbonnet,390,31.1%,221,221,-169,31%,4.90,$40,$156.00,"$1,333.42",$34,$131.34,"$1,360",Zach Charbonnet,390,10.7%,13,,,,,,,,,,
Hit,Jonathan Taylor,-110,66.7%,-200,-200,-90,67%,1.91,$40,$36.36,"$1,369.78",$75,$68.18,"$1,428",Jonathan Taylor,-110,14.3%,13,,,,,,,,,,
Miss,Alvin Kamara,-150,61.7%,-161,-161,-11,62%,1.67,$40,-$40.00,"$1,329.78",$11,-$10.85,"$1,417",Alvin Kamara,-150,1.7%,13,,,,,,,,,,
Miss,David Montgomery,-155,92.0%,-1160,-200,-45,67%,1.65,$40,-$40.00,"$1,289.78",$38,-$37.50,"$1,380",David Montgomery,-155,5.9%,13,Kelly Bet Amount,,,,,,,,,
